"riwayat_pendidikan_id","pegawai_id","pendidikan_id","nama_universitas","program_studi","tahun_lulus"
4318,1892,4,Universitas Negeri Yogyakarta,Kesehatan Masyarakat,2014
4319,1893,1,,,1999
4320,1893,4,Universitas Padjadjaran,Teknik Informatika,2003
4321,1894,1,,,2014
4322,1894,4,Institut Teknologi Bandung,Administrasi Publik,2018
4323,1895,1,,,2021
4324,1895,4,Universitas Gadjah Mada,Matematika,2025
4325,1896,1,,,1995
4326,1896,4,Telkom University,Ekonomi,1999
4327,1897,1,,,1997
4328,1897,4,Universitas Indonesia,Hukum,2001
4329,1897,5,Universitas Gadjah Mada,Manajemen,2003
4330,1897,6,Universitas Sebelas Maret,Administrasi Publik,2007
4331,1898,1,,,2013
4332,1898,4,Universitas Diponegoro,Statistika,2017
4333,1899,1,,,1984
4334,1899,4,Universitas Brawijaya,Ekonomi,1988
4335,1899,5,Telkom University,Ekonomi,1990
4336,1900,1,,,1988
4337,1900,4,Universitas Sriwijaya,Teknik Industri,1992
4338,1900,5,Universitas Airlangga,Matematika,1994
4339,1901,1,,,2010
4340,1901,4,Universitas Airlangga,Sistem Informasi,2014
4341,1902,1,,,2018
4342,1902,4,Universitas Hasanuddin,Ilmu Komputer,2022
4343,1903,1,,,2014
4344,1903,4,Institut Teknologi Bandung,Kesehatan Masyarakat,2018
4345,1904,1,,,2017
4346,1904,4,Universitas Sebelas Maret,Teknik Sipil,2021
4347,1905,1,,,2010
4348,1905,4,Universitas Padjadjaran,Matematika,2014
4349,1905,5,Universitas Gadjah Mada,Sistem Informasi,2016
4350,1906,1,,,2021
4351,1906,2,Universitas Diponegoro,Sistem Informasi,2024
4352,1907,1,,,2013
4353,1907,4,Universitas Hasanuddin,Statistika,2017
4354,1908,1,,,2005
4355,1908,4,Institut Pertanian Bogor,Teknik Industri,2009
4356,1908,5,Universitas Airlangga,Teknik Industri,2011
4357,1909,1,,,2021
4358,1909,4,Universitas Diponegoro,Ilmu Komputer,2025
4359,1910,1,,,2009
4360,1910,4,Universitas Brawijaya,Matematika,2013
4361,1910,5,Universitas Hasanuddin,Kesehatan Masyarakat,2015
4362,1911,1,,,1996
4363,1911,4,Universitas Brawijaya,Hukum,2000
4364,1911,5,Universitas Diponegoro,Akuntansi,2002
4365,1912,1,,,2011
4366,1912,4,Universitas Padjadjaran,Matematika,2015
4367,1913,1,,,1988
4368,1913,4,Universitas Airlangga,Kesehatan Masyarakat,1992
4369,1913,5,Universitas Negeri Yogyakarta,Teknik Industri,1994
4370,1914,1,,,2015
4371,1914,4,BINUS University,Matematika,2019
4372,1914,5,Universitas Brawijaya,Teknik Informatika,2021
4373,1915,1,,,2002
4374,1915,4,Universitas Gadjah Mada,Administrasi Publik,2006
4375,1916,1,,,2020
4376,1916,2,Universitas Indonesia,Kesehatan Masyarakat,2023
4377,1917,1,,,1996
4378,1917,4,Universitas Diponegoro,Kesehatan Masyarakat,2000
4379,1918,1,,,1997
4380,1918,4,Universitas Airlangga,Teknik Informatika,2001
4381,1919,1,,,1987
4382,1919,4,Universitas Negeri Yogyakarta,Kesehatan Masyarakat,1991
4383,1919,5,Universitas Sriwijaya,Administrasi Negara,1993
4384,1920,1,,,1995
4385,1920,4,Universitas Sebelas Maret,Teknik Informatika,1999
4386,1921,1,,,2000
4387,1921,4,Telkom University,Administrasi Publik,2004
4388,1922,1,,,2012
4389,1922,4,Telkom University,Manajemen,2016
4390,1923,1,,,1999
4391,1923,4,Universitas Airlangga,Manajemen,2003
4392,1923,5,Universitas Indonesia,Manajemen,2005
4393,1924,1,,,2001
4394,1924,4,Universitas Indonesia,Ekonomi,2005
4395,1925,1,,,2022
4396,1925,4,Telkom University,Hukum,2026
4397,1926,1,,,1984
4398,1926,4,BINUS University,Ekonomi,1988
4399,1927,1,,,1996
4400,1927,4,BINUS University,Akuntansi,2000
4401,1928,1,,,2006
4402,1928,4,Institut Teknologi Bandung,Manajemen,2010
4403,1928,5,Institut Pertanian Bogor,Ekonomi,2012
4404,1929,1,,,2007
4405,1929,4,Universitas Padjadjaran,Teknik Industri,2011
4406,1930,1,,,2017
4407,1930,2,Universitas Diponegoro,Kesehatan Masyarakat,2020
4408,1931,1,,,1999
4409,1931,4,Universitas Hasanuddin,Sistem Informasi,2003
4410,1932,1,,,1995
4411,1932,4,Telkom University,Matematika,1999
4412,1932,5,Institut Teknologi Bandung,Statistika,2001
4413,1933,1,,,2017
4414,1933,4,Universitas Brawijaya,Teknik Industri,2021
4415,1934,1,,,1983
4416,1934,4,Universitas Indonesia,Teknik Informatika,1987
4417,1935,1,,,2013
4418,1935,4,Telkom University,Teknik Industri,2017
4419,1936,1,,,1990
4420,1936,4,Universitas Padjadjaran,Statistika,1994
4421,1936,5,Universitas Sebelas Maret,Teknik Informatika,1996
4422,1937,1,,,1994
4423,1937,4,Universitas Airlangga,Hukum,1998
4424,1937,5,Universitas Negeri Jakarta,Statistika,2000
4425,1938,1,,,1999
4426,1938,4,BINUS University,Statistika,2003
4427,1938,5,Institut Teknologi Bandung,Teknik Informatika,2005
4428,1939,1,,,1998
4429,1939,4,Universitas Brawijaya,Statistika,2002
4430,1939,5,Universitas Airlangga,Teknik Industri,2004
4431,1939,6,Universitas Sriwijaya,Hukum,2008
4432,1940,1,,,1981
4433,1940,4,Universitas Indonesia,Teknik Industri,1985
4434,1940,5,Universitas Negeri Jakarta,Manajemen,1987
4435,1941,1,,,1983
4436,1941,4,Universitas Diponegoro,Administrasi Publik,1987
4437,1941,5,BINUS University,Matematika,1989
4438,1942,1,,,1989
4439,1942,4,Telkom University,Teknik Informatika,1993
4440,1942,5,Universitas Gadjah Mada,Matematika,1995
4441,1942,6,Telkom University,Teknik Sipil,1999
4442,1943,1,,,2008
4443,1943,4,Universitas Negeri Yogyakarta,Statistika,2012
4444,1944,1,,,1991
4445,1944,4,Universitas Indonesia,Manajemen,1995
4446,1944,5,Universitas Negeri Yogyakarta,Statistika,1997
4447,1945,1,,,2019
4448,1945,2,Institut Teknologi Bandung,Statistika,2022
4449,1946,1,,,1996
4450,1946,4,Universitas Indonesia,Ekonomi,2000
4451,1947,1,,,2012
4452,1947,4,Telkom University,Manajemen,2016
4453,1948,1,,,2019
4454,1948,4,Universitas Negeri Jakarta,Administrasi Publik,2023
4455,1949,1,,,2008
4456,1949,4,Universitas Airlangga,Ekonomi,2012
4457,1950,1,,,1994
4458,1950,4,Universitas Sriwijaya,Administrasi Negara,1998
4459,1950,5,Universitas Negeri Jakarta,Administrasi Negara,2000
4460,1950,6,Universitas Sebelas Maret,Manajemen,2004
4461,1951,1,,,2022
4462,1951,4,Universitas Indonesia,Manajemen,2026
4463,1952,1,,,2003
4464,1952,4,Institut Pertanian Bogor,Teknik Industri,2007
4465,1953,1,,,2007
4466,1953,4,Universitas Gadjah Mada,Administrasi Negara,2011
4467,1954,1,,,1999
4468,1954,4,Universitas Hasanuddin,Kesehatan Masyarakat,2003
4469,1955,1,,,2019
4470,1955,4,Universitas Negeri Jakarta,Kesehatan Masyarakat,2023
4471,1956,1,,,2007
4472,1956,4,Telkom University,Sistem Informasi,2011
4473,1957,1,,,2008
4474,1957,4,Universitas Padjadjaran,Ekonomi,2012
4475,1957,5,Institut Teknologi Bandung,Teknik Sipil,2014
4476,1958,1,,,1993
4477,1958,4,BINUS University,Administrasi Publik,1997
4478,1958,5,Universitas Sriwijaya,Matematika,1999
4479,1959,1,,,2011
4480,1959,4,Universitas Gadjah Mada,Administrasi Publik,2015
4481,1960,1,,,2007
4482,1960,4,Universitas Gadjah Mada,Manajemen,2011
4483,1961,1,,,2011
4484,1961,4,Institut Pertanian Bogor,Manajemen,2015
4485,1962,1,,,1996
4486,1962,4,Universitas Sriwijaya,Ilmu Komputer,2000
4487,1963,1,,,1985
4488,1963,4,Universitas Hasanuddin,Manajemen,1989
4489,1963,5,BINUS University,Hukum,1991
4490,1964,1,,,1992
4491,1964,4,Institut Teknologi Bandung,Akuntansi,1996
4492,1964,5,Universitas Negeri Yogyakarta,Kesehatan Masyarakat,1998
4493,1965,1,,,1991
4494,1965,4,Institut Teknologi Bandung,Teknik Informatika,1995
4495,1965,5,Institut Pertanian Bogor,Akuntansi,1997
4496,1966,1,,,2012
4497,1966,4,Universitas Padjadjaran,Statistika,2016
4498,1967,1,,,2001
4499,1967,4,Universitas Airlangga,Teknik Industri,2005
4500,1967,5,Universitas Hasanuddin,Hukum,2007
4501,1968,1,,,2005
4502,1968,4,Institut Pertanian Bogor,Sistem Informasi,2009
4503,1969,1,,,1994
4504,1969,4,Universitas Airlangga,Manajemen,1998
4505,1969,5,Universitas Indonesia,Teknik Informatika,2000
4506,1970,1,,,1991
4507,1970,4,Universitas Gadjah Mada,Ekonomi,1995
4508,1970,5,Telkom University,Sistem Informasi,1997
4509,1971,1,,,2020
4510,1971,4,Universitas Brawijaya,Akuntansi,2024
4511,1972,1,,,1989
4512,1972,4,Institut Teknologi Bandung,Administrasi Publik,1993
4513,1973,1,,,2003
4514,1973,4,Universitas Sriwijaya,Administrasi Publik,2007
4515,1974,1,,,2007
4516,1974,4,Universitas Hasanuddin,Kesehatan Masyarakat,2011
4517,1975,1,,,1997
4518,1975,4,Universitas Brawijaya,Ekonomi,2001
4519,1976,1,,,1996
4520,1976,4,Universitas Gadjah Mada,Manajemen,2000
4521,1977,1,,,1996
4522,1977,4,Institut Teknologi Bandung,Hukum,2000
4523,1977,5,Telkom University,Kesehatan Masyarakat,2002
4524,1978,1,,,2017
4525,1978,4,Universitas Gadjah Mada,Hukum,2021
4526,1979,1,,,1982
4527,1979,4,Universitas Gadjah Mada,Manajemen,1986
4528,1980,1,,,2001
4529,1980,4,Universitas Diponegoro,Administrasi Publik,2005
4530,1980,5,Universitas Sebelas Maret,Teknik Sipil,2007
4531,1981,1,,,1981
4532,1981,4,Universitas Hasanuddin,Sistem Informasi,1985
4533,1982,1,,,1987
4534,1982,4,Universitas Gadjah Mada,Teknik Industri,1991
4535,1983,1,,,1998
4536,1983,4,Universitas Negeri Jakarta,Administrasi Publik,2002
4537,1984,1,,,2021
4538,1984,4,Institut Pertanian Bogor,Administrasi Negara,2025
4539,1985,1,,,2019
4540,1985,4,Universitas Indonesia,Statistika,2023
4541,1986,1,,,1990
4542,1986,4,Institut Pertanian Bogor,Hukum,1994
4543,1986,5,Universitas Gadjah Mada,Hukum,1996
4544,1986,6,Universitas Brawijaya,Kesehatan Masyarakat,2000
4545,1987,1,,,2011
4546,1987,4,Universitas Diponegoro,Teknik Informatika,2015
4547,1988,1,,,2002
4548,1988,4,Universitas Diponegoro,Ekonomi,2006
4549,1989,1,,,2006
4550,1989,4,Universitas Diponegoro,Hukum,2010
4551,1990,1,,,1990
4552,1990,4,Universitas Airlangga,Ilmu Komputer,1994
4553,1990,5,Telkom University,Statistika,1996
4554,1991,1,,,1985
4555,1991,4,Universitas Negeri Jakarta,Ekonomi,1989
4556,1992,1,,,1991
4557,1992,4,Universitas Padjadjaran,Teknik Industri,1995
4558,1993,1,,,2016
4559,1993,4,Universitas Negeri Yogyakarta,Sistem Informasi,2020
4560,1994,1,,,1992
4561,1994,4,Institut Pertanian Bogor,Teknik Sipil,1996
4562,1995,1,,,1992
4563,1995,4,Universitas Padjadjaran,Teknik Industri,1996
4564,1995,5,Institut Teknologi Bandung,Sistem Informasi,1998
4565,1996,1,,,1983
4566,1996,4,Universitas Sebelas Maret,Teknik Industri,1987
4567,1996,5,Universitas Padjadjaran,Teknik Informatika,1989
4568,1997,1,,,2009
4569,1997,4,BINUS University,Teknik Sipil,2013
4570,1997,5,Universitas Indonesia,Akuntansi,2015
4571,1998,1,,,2005
4572,1998,4,Universitas Padjadjaran,Administrasi Negara,2009
4573,1999,1,,,1984
4574,1999,4,Universitas Padjadjaran,Teknik Sipil,1988
4575,2000,1,,,2000
4576,2000,4,Institut Teknologi Bandung,Matematika,2004
4577,2000,5,BINUS University,Akuntansi,2006
4578,2001,1,,,2022
4579,2001,4,Universitas Brawijaya,Administrasi Negara,2026
4580,2002,1,,,2001
4581,2002,4,Universitas Sebelas Maret,Teknik Industri,2005
4582,2002,5,Universitas Indonesia,Ekonomi,2007
4583,2003,1,,,2010
4584,2003,4,Institut Pertanian Bogor,Akuntansi,2014
4585,2004,1,,,1989
4586,2004,4,Universitas Diponegoro,Sistem Informasi,1993
4587,2004,5,Universitas Hasanuddin,Ekonomi,1995
4588,2005,1,,,1998
4589,2005,4,Universitas Sebelas Maret,Akuntansi,2002
4590,2006,1,,,1998
4591,2006,4,Institut Teknologi Bandung,Ilmu Komputer,2002
4592,2007,1,,,2003
4593,2007,4,Universitas Diponegoro,Manajemen,2007
4594,2008,1,,,1984
4595,2008,4,Universitas Hasanuddin,Manajemen,1988
4596,2009,1,,,1998
4597,2009,4,Universitas Brawijaya,Manajemen,2002
4598,2010,1,,,2012
4599,2010,4,Telkom University,Teknik Industri,2016
4600,2011,1,,,1994
4601,2011,4,Universitas Gadjah Mada,Hukum,1998
4602,2012,1,,,2015
4603,2012,4,Telkom University,Teknik Informatika,2019
4604,2012,5,Telkom University,Ekonomi,2021
4605,2013,1,,,2010
4606,2013,4,BINUS University,Akuntansi,2014
4607,2013,5,Universitas Hasanuddin,Administrasi Negara,2016
4608,2014,1,,,2002
4609,2014,4,Universitas Brawijaya,Statistika,2006
4610,2015,1,,,2002
4611,2015,4,Institut Pertanian Bogor,Ekonomi,2006
4612,2015,5,BINUS University,Ilmu Komputer,2008
4613,2016,1,,,2018
4614,2016,4,Universitas Brawijaya,Sistem Informasi,2022
4615,2017,1,,,1990
4616,2017,4,Universitas Diponegoro,Akuntansi,1994
4617,2018,1,,,1999
4618,2018,4,Universitas Hasanuddin,Administrasi Negara,2003
4619,2019,1,,,2002
4620,2019,4,Universitas Padjadjaran,Matematika,2006
4621,2020,1,,,2003
4622,2020,4,Universitas Negeri Yogyakarta,Matematika,2007
4623,2020,5,Institut Pertanian Bogor,Sistem Informasi,2009
4624,2021,1,,,2001
4625,2021,4,Universitas Sriwijaya,Manajemen,2005
4626,2021,5,Universitas Indonesia,Akuntansi,2007
4627,2022,1,,,1993
4628,2022,4,Universitas Airlangga,Administrasi Negara,1997
4629,2023,1,,,2011
4630,2023,4,Universitas Negeri Jakarta,Hukum,2015
4631,2024,1,,,1992
4632,2024,4,Institut Teknologi Bandung,Administrasi Publik,1996
4633,2024,5,Universitas Diponegoro,Statistika,1998
4634,2025,1,,,2006
4635,2025,4,Universitas Sebelas Maret,Matematika,2010
4636,2026,1,,,2014
4637,2026,4,Institut Teknologi Bandung,Manajemen,2018
4638,2027,1,,,1994
4639,2027,4,Universitas Gadjah Mada,Matematika,1998
4640,2028,1,,,1984
4641,2028,4,Universitas Padjadjaran,Administrasi Publik,1988
4642,2029,1,,,2008
4643,2029,4,Universitas Diponegoro,Administrasi Publik,2012
4644,2030,1,,,1983
4645,2030,4,Universitas Negeri Yogyakarta,Ekonomi,1987
4646,2030,5,Universitas Sebelas Maret,Kesehatan Masyarakat,1989
4647,2030,6,Institut Teknologi Bandung,Administrasi Negara,1993
4648,2031,1,,,2012
4649,2031,4,Universitas Sriwijaya,Hukum,2016
4650,2032,1,,,1984
4651,2032,4,Universitas Diponegoro,Manajemen,1988
4652,2033,1,,,2011
4653,2033,4,Telkom University,Teknik Sipil,2015
4654,2034,1,,,1988
4655,2034,4,Universitas Negeri Yogyakarta,Sistem Informasi,1992
4656,2035,1,,,2012
4657,2035,4,Universitas Sriwijaya,Teknik Industri,2016
4658,2036,1,,,2017
4659,2036,4,Universitas Diponegoro,Teknik Sipil,2021
4660,2037,1,,,1991
4661,2037,4,Telkom University,Teknik Informatika,1995
4662,2038,1,,,1986
4663,2038,4,Universitas Airlangga,Manajemen,1990
4664,2039,1,,,1998
4665,2039,4,Universitas Gadjah Mada,Teknik Informatika,2002
4666,2040,1,,,2006
4667,2040,4,Universitas Gadjah Mada,Akuntansi,2010
4668,2041,1,,,2015
4669,2041,4,Universitas Padjadjaran,Ilmu Komputer,2019
4670,2042,1,,,2007
4671,2042,4,Universitas Indonesia,Statistika,2011
4672,2042,5,Universitas Sebelas Maret,Matematika,2013
4673,2043,1,,,2009
4674,2043,4,Universitas Brawijaya,Manajemen,2013
4675,2043,5,Universitas Diponegoro,Teknik Informatika,2015
4676,2044,1,,,2017
4677,2044,4,Institut Teknologi Bandung,Sistem Informasi,2021
4678,2044,5,Universitas Brawijaya,Ekonomi,2023
4679,2045,1,,,1991
4680,2045,4,Universitas Negeri Jakarta,Teknik Sipil,1995
4681,2046,1,,,2005
4682,2046,4,Universitas Gadjah Mada,Statistika,2009
4683,2047,1,,,2012
4684,2047,4,Universitas Sebelas Maret,Statistika,2016
4685,2048,1,,,1993
4686,2048,4,BINUS University,Sistem Informasi,1997
4687,2049,1,,,2018
4688,2049,2,Institut Pertanian Bogor,Ilmu Komputer,2021
4689,2050,1,,,1986
4690,2050,4,Universitas Diponegoro,Teknik Informatika,1990
4691,2051,1,,,2021
4692,2051,2,Institut Pertanian Bogor,Kesehatan Masyarakat,2024
4693,2052,1,,,2011
4694,2052,4,Institut Pertanian Bogor,Teknik Informatika,2015
4695,2053,1,,,1996
4696,2053,4,BINUS University,Manajemen,2000
4697,2053,5,Universitas Sriwijaya,Statistika,2002
4698,2054,1,,,1997
4699,2054,4,Institut Pertanian Bogor,Kesehatan Masyarakat,2001
4700,2055,1,,,2004
4701,2055,4,Universitas Indonesia,Statistika,2008
4702,2056,1,,,2006
4703,2056,4,Universitas Diponegoro,Akuntansi,2010
4704,2057,1,,,2001
4705,2057,4,BINUS University,Administrasi Publik,2005
4706,2057,5,Universitas Padjadjaran,Manajemen,2007
4707,2058,1,,,2007
4708,2058,4,Universitas Gadjah Mada,Matematika,2011
4709,2058,5,Universitas Airlangga,Manajemen,2013
4710,2059,1,,,2003
4711,2059,4,Universitas Negeri Jakarta,Teknik Informatika,2007
4712,2060,1,,,1990
4713,2060,4,Universitas Brawijaya,Teknik Informatika,1994
4714,2061,1,,,1985
4715,2061,4,Universitas Sriwijaya,Statistika,1989
4716,2062,1,,,2022
4717,2062,4,Institut Teknologi Bandung,Teknik Industri,2026
4718,2063,1,,,2008
4719,2063,2,Universitas Negeri Yogyakarta,Statistika,2011
4720,2064,1,,,1992
4721,2064,4,Universitas Gadjah Mada,Ekonomi,1996
4722,2064,5,Universitas Hasanuddin,Administrasi Publik,1998
4723,2065,1,,,1994
4724,2065,4,Universitas Padjadjaran,Statistika,1998
4725,2065,5,Universitas Negeri Jakarta,Statistika,2000
4726,2066,1,,,1995
4727,2066,4,BINUS University,Teknik Informatika,1999
4728,2067,1,,,1999
4729,2067,4,Universitas Sriwijaya,Matematika,2003
4730,2068,1,,,2012
4731,2068,4,Institut Teknologi Bandung,Manajemen,2016
4732,2069,1,,,2004
4733,2069,4,Universitas Sebelas Maret,Akuntansi,2008
4734,2070,1,,,2004
4735,2070,4,Universitas Padjadjaran,Statistika,2008
4736,2071,1,,,2010
4737,2071,4,Universitas Padjadjaran,Teknik Informatika,2014
4738,2072,1,,,2012
4739,2072,4,Institut Teknologi Bandung,Matematika,2016
4740,2073,1,,,2019
4741,2073,4,Universitas Negeri Yogyakarta,Statistika,2023
4742,2074,1,,,2015
4743,2074,4,Telkom University,Teknik Informatika,2019
4744,2075,1,,,1996
4745,2075,4,Universitas Diponegoro,Ekonomi,2000
4746,2076,1,,,2005
4747,2076,4,Universitas Indonesia,Teknik Sipil,2009
4748,2077,1,,,1988
4749,2077,4,Universitas Negeri Yogyakarta,Ekonomi,1992
4750,2077,5,Universitas Sebelas Maret,Administrasi Publik,1994
4751,2077,6,Universitas Diponegoro,Ilmu Komputer,1998
4752,2078,1,,,1994
4753,2078,4,Institut Pertanian Bogor,Sistem Informasi,1998
4754,2079,1,,,2013
4755,2079,4,Institut Pertanian Bogor,Statistika,2017
4756,2080,1,,,2018
4757,2080,4,Universitas Gadjah Mada,Matematika,2022
4758,2081,1,,,2018
4759,2081,2,Universitas Sebelas Maret,Teknik Informatika,2021
4760,2082,1,,,2009
4761,2082,4,Universitas Padjadjaran,Manajemen,2013
4762,2083,1,,,1981
4763,2083,4,Telkom University,Teknik Industri,1985
4764,2084,1,,,2021
4765,2084,4,Universitas Sebelas Maret,Kesehatan Masyarakat,2025
4766,2085,1,,,1981
4767,2085,4,Universitas Brawijaya,Hukum,1985
4768,2086,1,,,1998
4769,2086,4,Universitas Padjadjaran,Matematika,2002
4770,2087,1,,,1987
4771,2087,4,Universitas Sebelas Maret,Akuntansi,1991
4772,2087,5,Universitas Airlangga,Statistika,1993
4773,2088,1,,,2016
4774,2088,4,Universitas Airlangga,Hukum,2020
4775,2089,1,,,2010
4776,2089,2,Universitas Negeri Jakarta,Teknik Industri,2013
4777,2090,1,,,1993
4778,2090,4,BINUS University,Sistem Informasi,1997
4779,2090,5,Universitas Negeri Jakarta,Teknik Sipil,1999
4780,2091,1,,,1996
4781,2091,4,Universitas Sebelas Maret,Ekonomi,2000
4782,2092,1,,,1988
4783,2092,4,BINUS University,Teknik Sipil,1992
4784,2092,5,Universitas Negeri Jakarta,Matematika,1994
4785,2092,6,Telkom University,Statistika,1998
4786,2093,1,,,1995
4787,2093,4,Universitas Airlangga,Teknik Industri,1999
4788,2093,5,Universitas Negeri Jakarta,Akuntansi,2001
4789,2094,1,,,1995
4790,2094,4,Universitas Diponegoro,Hukum,1999
4791,2094,5,Universitas Padjadjaran,Ekonomi,2001
4792,2095,1,,,2015
4793,2095,4,Universitas Negeri Yogyakarta,Ekonomi,2019
4794,2096,1,,,1989
4795,2096,4,Universitas Brawijaya,Matematika,1993
4796,2096,5,Universitas Sebelas Maret,Administrasi Publik,1995
4797,2097,1,,,2010
4798,2097,4,Universitas Gadjah Mada,Administrasi Publik,2014
4799,2097,5,Universitas Airlangga,Matematika,2016
4800,2098,1,,,1985
4801,2098,4,Universitas Sebelas Maret,Hukum,1989
4802,2098,5,BINUS University,Ekonomi,1991
4803,2099,1,,,1985
4804,2099,4,Universitas Negeri Jakarta,Manajemen,1989
4805,2100,1,,,2004
4806,2100,4,Universitas Airlangga,Sistem Informasi,2008
4807,2101,1,,,2001
4808,2101,4,Universitas Sebelas Maret,Kesehatan Masyarakat,2005
4809,2101,5,Universitas Airlangga,Kesehatan Masyarakat,2007
4810,2101,6,Universitas Sebelas Maret,Kesehatan Masyarakat,2011
4811,2102,1,,,2005
4812,2102,2,Universitas Hasanuddin,Sistem Informasi,2008
4813,2103,1,,,1996
4814,2103,4,Institut Pertanian Bogor,Hukum,2000
4815,2104,1,,,2021
4816,2104,4,Institut Pertanian Bogor,Statistika,2025
4817,2105,1,,,2017
4818,2105,4,Universitas Negeri Yogyakarta,Akuntansi,2021
4819,2106,1,,,2006
4820,2106,4,Institut Teknologi Bandung,Kesehatan Masyarakat,2010
4821,2107,1,,,2006
4822,2107,4,Universitas Negeri Jakarta,Teknik Industri,2010
4823,2108,1,,,1995
4824,2108,4,Institut Teknologi Bandung,Sistem Informasi,1999
4825,2108,5,Universitas Negeri Jakarta,Teknik Sipil,2001
4826,2109,1,,,2016
4827,2109,4,Universitas Brawijaya,Statistika,2020
4828,2109,5,Universitas Negeri Jakarta,Ekonomi,2022
4829,2110,1,,,2005
4830,2110,4,Universitas Airlangga,Kesehatan Masyarakat,2009
4831,2111,1,,,2006
4832,2111,4,Institut Teknologi Bandung,Matematika,2010
4833,2112,1,,,2012
4834,2112,2,Universitas Indonesia,Kesehatan Masyarakat,2015
4835,2113,1,,,2017
4836,2113,4,Institut Teknologi Bandung,Administrasi Publik,2021
4837,2114,1,,,1987
4838,2114,4,Universitas Airlangga,Hukum,1991
4839,2114,5,Institut Pertanian Bogor,Administrasi Publik,1993
4840,2115,1,,,2011
4841,2115,4,Universitas Negeri Jakarta,Sistem Informasi,2015
4842,2116,1,,,2014
4843,2116,4,Universitas Negeri Jakarta,Statistika,2018
4844,2117,1,,,2007
4845,2117,4,Universitas Hasanuddin,Statistika,2011
4846,2118,1,,,1992
4847,2118,4,Universitas Gadjah Mada,Ekonomi,1996
4848,2119,1,,,2011
4849,2119,4,Universitas Gadjah Mada,Sistem Informasi,2015
4850,2120,1,,,2021
4851,2120,4,Telkom University,Sistem Informasi,2025
4852,2121,1,,,2021
4853,2121,4,Telkom University,Kesehatan Masyarakat,2025
4854,2122,1,,,1992
4855,2122,4,Telkom University,Administrasi Negara,1996
4856,2123,1,,,1994
4857,2123,4,Telkom University,Kesehatan Masyarakat,1998
4858,2123,5,Universitas Hasanuddin,Teknik Industri,2000
4859,2124,1,,,1993
4860,2124,4,Universitas Padjadjaran,Administrasi Publik,1997
4861,2124,5,Universitas Sebelas Maret,Teknik Informatika,1999
4862,2125,1,,,1988
4863,2125,4,Universitas Sebelas Maret,Teknik Industri,1992
4864,2126,1,,,2019
4865,2126,4,Universitas Hasanuddin,Akuntansi,2023
4866,2127,1,,,1992
4867,2127,4,Universitas Airlangga,Manajemen,1996
4868,2128,1,,,2017
4869,2128,4,Universitas Padjadjaran,Ekonomi,2021
4870,2129,1,,,1993
4871,2129,4,Universitas Negeri Yogyakarta,Hukum,1997
4872,2130,1,,,1997
4873,2130,4,Universitas Negeri Yogyakarta,Manajemen,2001
4874,2131,1,,,2001
4875,2131,4,Telkom University,Ilmu Komputer,2005
4876,2132,1,,,2007
4877,2132,4,Universitas Sriwijaya,Teknik Sipil,2011
4878,2133,1,,,1986
4879,2133,4,Universitas Indonesia,Statistika,1990
4880,2134,1,,,2000
4881,2134,4,Universitas Hasanuddin,Administrasi Publik,2004
4882,2135,1,,,2000
4883,2135,4,Universitas Sebelas Maret,Manajemen,2004
4884,2135,5,Institut Pertanian Bogor,Manajemen,2006
4885,2136,1,,,1990
4886,2136,4,Universitas Padjadjaran,Teknik Industri,1994
4887,2137,1,,,2013
4888,2137,4,Universitas Padjadjaran,Ekonomi,2017
4889,2138,1,,,2009
4890,2138,4,Institut Pertanian Bogor,Matematika,2013
4891,2139,1,,,2009
4892,2139,4,Universitas Padjadjaran,Teknik Sipil,2013
4893,2140,1,,,2001
4894,2140,4,Universitas Sriwijaya,Matematika,2005
4895,2140,5,Universitas Gadjah Mada,Sistem Informasi,2007
4896,2141,1,,,1994
4897,2141,4,Telkom University,Akuntansi,1998
4898,2141,5,Institut Pertanian Bogor,Administrasi Negara,2000
4899,2142,1,,,1994
4900,2142,4,Universitas Padjadjaran,Teknik Industri,1998
4901,2143,1,,,2009
4902,2143,4,Telkom University,Teknik Industri,2013
4903,2143,5,Universitas Negeri Jakarta,Administrasi Publik,2015
4904,2144,1,,,1988
4905,2144,4,Universitas Sriwijaya,Teknik Sipil,1992
4906,2144,5,Universitas Negeri Yogyakarta,Sistem Informasi,1994
4907,2145,1,,,1994
4908,2145,4,Universitas Airlangga,Statistika,1998
4909,2146,1,,,1985
4910,2146,4,Universitas Airlangga,Akuntansi,1989
4911,2147,1,,,1994
4912,2147,4,Universitas Negeri Jakarta,Manajemen,1998
4913,2147,5,Universitas Indonesia,Administrasi Publik,2000
4914,2148,1,,,1995
4915,2148,4,Universitas Diponegoro,Teknik Sipil,1999
4916,2148,5,Universitas Negeri Yogyakarta,Kesehatan Masyarakat,2001
4917,2149,1,,,1988
4918,2149,4,Institut Pertanian Bogor,Matematika,1992
4919,2150,1,,,2005
4920,2150,4,Universitas Brawijaya,Sistem Informasi,2009
4921,2151,1,,,2014
4922,2151,4,Universitas Indonesia,Sistem Informasi,2018
4923,2152,1,,,2021
4924,2152,2,Universitas Indonesia,Kesehatan Masyarakat,2024
4925,2153,1,,,1993
4926,2153,4,Universitas Airlangga,Matematika,1997
4927,2154,1,,,2010
4928,2154,4,Institut Teknologi Bandung,Akuntansi,2014
4929,2154,5,Universitas Gadjah Mada,Hukum,2016
